source,paradigm,is_cube,session_id,mean_likelihood,interp_rate,mean_velocity_px_s,std_velocity_px_s,cv_velocity,mean_jitter,pos_std_x,pos_std_y,bbox_area
patterns2025_batch2,novel_object,False,new_Trial     6DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9978081641399807,0.0,104.24768941356247,88.94404300853436,0.8657739768954457,1.2626718223999478,141.0782572333723,137.72696807288975,205382.74189473985
patterns2025_batch2,novel_object,False,new_Trial     7DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9971904343574984,0.0,79.53258051622511,72.69646567630336,0.9269994966908244,1.0118792487794825,137.75323354422227,126.19520252546518,197579.62317730254
patterns2025_batch2,novel_object,False,new_Trial     8DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9965941049606443,0.00017833752529010597,91.2156730056672,81.78506851971828,0.9079097736762585,1.1274597112864702,131.86275319910268,133.77375894901965,198490.31158465333
patterns2025_batch2,novel_object,False,new_Trial     9DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.997854678866862,0.0,72.28009304901524,72.2941887010023,1.0163177372272318,0.9338754876696015,134.73889451592643,136.11040021443475,199323.19463909595
patterns2025_batch2,novel_object,False,new_Trial    10DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9974970980922048,0.000169115712728776,79.84998362116578,78.44551669912306,0.9982859335536506,1.0210509266206442,143.17173938665798,136.22354525090213,200554.13446671478
patterns2025_batch2,novel_object,False,new_Trial    11DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9976568441831496,0.0,110.66586002005366,91.9930138673189,0.8422613049181421,1.276782977437011,134.27021600785267,127.8963294201676,197887.99728355856
patterns2025_batch2,novel_object,False,new_Trial    12DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9978842406274826,1.8763486255746317e-05,103.97225295651187,94.15569451829919,0.9164802141884018,1.2322609994296334,128.37304306739682,126.78139116006979,200752.0411622883
patterns2025_batch2,novel_object,False,new_Trial    13DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9973799791897163,2.5040377608894342e-05,115.11203800359098,103.11224554234121,0.9053425750213979,1.2627937911980096,127.84164654758318,128.095404405149,201489.46062382738
patterns2025_batch2,novel_object,False,new_Trial    14DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9978564461252346,0.0,88.11759630302502,80.05606843759072,0.9175411474421218,1.0661097231977226,143.96218126761286,134.31484211466565,201186.21980068638
patterns2025_batch2,novel_object,False,new_Trial    15DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9972947784562755,6.274785402339241e-06,98.02892804225976,83.01273759778213,0.8540890926508635,1.150740515947931,138.21238873799095,139.4254878949334,196189.84428055736
patterns2025_batch2,novel_object,False,new_Trial    16DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9978886619146959,0.0,40.541688224338515,57.58188525789085,1.4414894079520264,0.5753704166673844,137.0437823576573,141.05794748713433,183781.79764828936
patterns2025_batch2,novel_object,False,new_Trial    17DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9977272743189574,1.8768651347276357e-05,124.50756478746217,97.0319356303748,0.7863046767792536,1.4179395972907154,143.45252093657362,132.62968690594622,200817.75065328006
patterns2025_batch2,novel_object,False,new_Trial    18DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9975794889981433,0.0,142.6440843455095,109.11318381982528,0.7725187550018728,1.3724603369654407,132.05024087258883,129.73009237662802,195495.65586001825
patterns2025_batch2,novel_object,False,new_Trial    19DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9973847611279719,0.0,113.95420008415354,101.69915739464791,0.9019176552442592,1.2640988912839288,130.79404615126933,131.8103343017446,198764.1250248991
patterns2025_batch2,novel_object,False,new_Trial    20DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9972823915062666,0.0,102.32636223489698,87.6779307682822,0.8657312313966656,1.1737245800391596,140.06004013967447,139.14046165459723,202046.26147735975
patterns2025_batch2,novel_object,False,new_Trial    21DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9974973572465299,0.0,82.02576961680045,86.21308284650549,1.0658788597834026,0.9729059806040815,149.2370006358633,146.77941228114494,192291.84296808022
patterns2025_batch2,novel_object,False,new_Trial    22DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9973752761858085,0.0,63.46017604718792,74.13320483434728,1.1903569676653811,0.8304378645378979,122.62869301777518,134.06742442755075,194338.90712812106
patterns2025_batch2,novel_object,False,new_Trial    23DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9977757715801691,0.0,62.789635022976476,70.10789755938481,1.1399030339714855,0.8416717866362013,137.86999394501893,122.44674043036513,194435.64014971585
patterns2025_batch2,novel_object,False,new_Trial    24DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9982894177546708,0.0,38.3811861342382,55.38045426295265,1.4728911164232243,0.5197991469619748,134.80089200093633,153.0746517032975,167823.46753485574
patterns2025_batch2,novel_object,False,new_Trial    25DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9960207998253542,1.2533998470852185e-05,98.79370971804157,91.02949592150247,0.9331388446665517,1.1534233517144974,124.5127720981371,127.91313512823746,200704.5169279801
patterns2025_batch2,novel_object,False,new_Trial    26DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9970690605896259,3.748828491096533e-05,54.39649342973212,69.91640731985257,1.3029597213496136,0.7201389912763222,136.58750261257595,130.37542134976346,191118.8526837189
patterns2025_batch2,novel_object,False,new_Trial    27DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9982883626250938,0.0,127.95254345124448,106.73566749874077,0.843382119804151,1.377408166894471,144.42511830075196,142.25752034362452,203468.99148192714
patterns2025_batch2,novel_object,False,new_Trial    28DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9979803255065332,1.8767359807822234e-05,113.23377551851408,90.15636625781188,0.8053788397746849,1.321228240403816,138.006545395291,138.75461268997697,201182.88598979413
patterns2025_batch2,novel_object,False,new_Trial    29DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9983505905808067,0.0,83.88958041797798,78.25127459808968,0.9505172165970535,1.0722909306141497,135.84208421178047,129.1055424230218,200557.681405853
patterns2025_batch2,novel_object,False,new_Trial    30DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9982411589645431,0.0,115.4627086526923,90.40438327304007,0.7930483430116803,1.359725444572132,146.10524246973026,139.92932866617363,202279.60498386237
