source,paradigm,is_cube,session_id,bodypart,canonical,n_frames,fps,mean_likelihood,interp_rate,mean_velocity_px_s,std_velocity_px_s,cv_velocity,mean_jitter,pos_std_x,pos_std_y,bbox_area
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tr,,15241,25,0.9658892024229004,0.03352798372810183,10.95294333118784,51.50700033188257,4.7025716078727005,0.26813914142091316,14.932638313665377,7.719994350376205,47012.06220962781
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bl,,15241,25,0.9872694788415729,0.009710648907551998,11.831119284668855,12.938315195104167,1.0935833612860326,0.2960508460437706,1.3258807906133836,3.769042481418455,1969.232578273624
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,br,,15241,25,0.9695193446274623,0.029525621678367562,11.799605525393309,26.22859074633881,2.2228362371855264,0.32256355963089794,2.485470296376852,1.5064537977549322,3090.5176180826925
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,centre,,15241,25,0.9433340313600262,0.05045600682369923,38.99571115007324,106.93220755234162,2.7421530316710427,1.079173288914953,20.777557516585205,8.558330219936897,103105.19586832687
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,nose,nose,15241,25,0.9643598416800981,0.026113772062200644,105.68460676170886,224.28234221581442,2.1221855205603632,1.9299256032596197,133.15336555933578,106.57404353609476,249811.348758321
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,headcentre,head,15241,25,0.9938056190768202,0.005117774424250377,89.84458336154347,222.60990989177952,2.4777221014646513,1.507356487166398,130.7160519434885,105.2470444873983,344198.5571938954
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,neck,neck,15241,25,0.9952876659646824,0.004264812020208648,76.73986666044034,111.89924953514468,1.4581631999737252,1.0852369548713316,127.81934118808189,102.93913433870976,232350.6864803342
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,earl,,15241,25,0.9940836385482018,0.004789711961157404,82.5944132046407,198.8821589264127,2.407937186182929,1.254170387623255,129.3786660008727,104.26410746244946,311515.8826120352
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,earr,,15241,25,0.9953420700543384,0.004133587034971458,82.26544018267883,108.44510699905582,1.3182340817510045,1.2206336176213164,128.22749792386873,103.39075130128025,230904.07133154766
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bodycentre,body_center,15241,25,0.9960679433632222,0.0033462371235483237,74.199819575222,264.0677209620455,3.5588728176668942,1.321762150729279,124.50786477943058,101.24210329842685,294576.2170487885
